Trial,Ecc,RT,IT,Brightness,"Stim ID (R, B, Y)"
481,15,478,507,15,2
482,15,0,434,15,2
483,0,370,337,15,2
484,-30,420,790,15,0
485,-30,457,695,15,1
486,-15,302,717,15,1
487,45,0,472,15,0
488,45,0,620,15,2
489,45,0,550,15,1
490,-45,259,701,15,1
491,15,0,557,15,0
492,30,326,540,15,1
493,-30,338,382,15,1
494,45,309,502,15,1
495,30,276,345,15,1
