Trial, dist, RT, interstim, Brightness, Response, NumberofLED
146,-45,573,486,15,1,2
147,15,436,757,15,1,2
148,30,450,776,15,1,2
149,0,380,642,15,1,2
150,-30,520,717,15,1,2
151,30,681,485,15,-1,3
152,15,384,752,15,1,1
153,-15,441,433,15,1,3
154,60,550,594,15,1,3
155,-30,658,500,15,1,1
156,45,431,393,15,1,1
157,-30,357,595,15,1,1
158,-45,320,487,15,1,1
159,30,395,404,15,1,1
160,60,446,491,15,1,1
161,-30,467,726,15,1,3
162,30,539,400,15,1,3
163,60,332,731,15,1,1
164,30,522,706,15,1,2
165,45,422,362,15,1,3
166,-15,308,393,15,1,1
167,45,450,708,15,1,3
168,0,359,595,15,1,1
169,-45,348,556,15,1,1
170,60,429,543,15,1,3
171,15,672,670,15,1,2
172,0,327,637,15,1,1
173,-15,562,329,15,1,3
174,45,539,598,15,1,3
175,60,451,757,15,-1,2
176,-60,353,681,15,1,1
177,30,470,517,15,1,3
178,45,411,733,15,1,1
179,45,690,643,15,1,3
180,30,439,579,15,1,3
181,30,604,606,15,1,1
182,30,418,559,15,1,3
183,0,362,422,15,1,1
184,45,432,583,15,1,3
185,0,331,400,15,1,3
186,0,391,486,15,1,1
187,30,350,724,15,1,1
188,15,362,575,15,1,1
189,15,349,592,15,-1,2
190,0,339,381,15,1,1
191,30,559,412,15,1,3
192,-30,442,432,15,1,3
193,45,584,777,15,1,1
194,-60,711,706,15,1,3
195,0,325,581,15,1,1
196,-30,657,699,15,1,1
197,-15,383,593,15,1,2
198,0,321,675,15,1,1
199,0,298,749,15,1,1
200,-30,454,718,15,1,3
201,0,407,572,15,1,2
202,-45,920,644,15,1,2
203,30,0,335,15,0,1
204,30,566,646,15,1,3
205,-15,729,626,15,1,2
206,-30,611,490,15,1,2
207,-30,285,705,15,1,1
208,-60,468,615,15,-1,2
209,45,401,486,15,1,1
210,-60,572,553,15,1,2
211,-15,572,519,15,1,3
212,30,344,324,15,1,1
213,0,384,776,15,1,3
214,30,314,690,15,1,1
215,30,563,646,15,1,3
216,0,340,477,15,1,3
217,-60,360,694,15,1,3
218,-60,553,417,15,1,3
219,0,381,779,15,1,1
220,-60,415,624,15,-1,2
221,30,339,564,15,1,1
222,-45,399,502,15,-1,2
223,-45,548,642,15,1,2
224,15,448,305,15,1,3
225,-30,358,308,15,1,1
226,30,492,643,15,1,2
227,0,266,789,15,1,1
228,-30,419,424,15,1,2
229,30,430,512,15,1,1
230,60,494,713,15,-1,2
231,30,445,339,15,1,2

