Trial, dist, RT, interstim, Brightness, Response, NumberofLED
109,-60,661,778,15,1,3
110,-15,422,627,15,1,1
111,-60,707,302,15,1,2
112,-60,326,424,15,1,1
113,-45,347,703,15,1,1
114,15,481,532,15,1,1
115,-15,288,685,15,1,1
116,15,296,715,15,1,1
117,15,532,747,15,1,2
118,45,305,566,15,1,1
119,-15,470,329,15,1,3
120,0,422,671,15,1,3
121,0,392,745,15,1,1
122,-15,410,513,15,1,3
123,-30,372,397,15,1,1
124,30,495,590,15,-1,2
125,-30,299,603,15,1,1
126,-45,670,351,15,1,2
127,0,415,355,15,1,1
128,0,446,687,15,1,2
129,60,456,674,15,1,3
130,60,625,757,15,1,2
131,30,0,337,15,0,2
132,60,477,698,15,1,1
133,-15,615,326,15,-1,3
134,0,439,377,15,1,3
135,-45,625,383,15,1,3
136,-60,608,453,15,1,3
137,-30,348,582,15,1,1
138,-30,462,737,15,1,3
139,-60,524,407,15,1,1
140,15,770,744,15,1,2
141,60,406,749,15,1,1
142,-45,300,463,15,1,1
143,-15,333,557,15,1,1
144,-30,241,367,15,-1,2
145,15,398,617,15,1,2
146,15,468,508,15,1,3
147,0,412,777,15,1,2
148,-30,346,542,15,1,1
149,0,334,772,15,1,2
150,30,423,582,15,1,1
151,-30,385,351,15,1,1
152,0,433,684,15,1,3
153,-30,532,669,15,1,2
154,-45,497,369,15,1,3
155,-45,456,319,15,1,1
156,-60,360,596,15,-1,2
157,-45,844,655,15,1,2
158,45,437,625,15,1,1
159,30,427,542,15,1,3
160,45,397,321,15,1,1
161,-45,550,364,15,1,3
162,-30,672,549,15,-1,2
163,15,332,679,15,1,1
164,-45,590,759,15,1,3
165,-45,468,377,15,1,1
166,-15,287,550,15,1,1
167,-30,315,792,15,1,1
168,15,488,303,15,1,3
169,45,777,495,15,1,2
170,-30,446,752,15,1,3
171,-60,358,662,15,1,1
172,-15,399,336,15,1,1
173,30,443,754,15,1,3
174,-30,464,488,15,1,1
175,15,410,656,15,1,3
176,-15,808,332,15,-1,3
177,45,520,630,15,1,3
178,60,393,582,15,1,1
179,-15,309,539,15,1,1
180,-60,373,498,15,1,1
181,-45,882,383,15,1,2
182,-60,371,576,15,1,1
183,-45,407,744,15,1,3
184,-30,618,555,15,1,2
185,15,358,541,15,1,1
186,15,407,491,15,1,2
187,60,515,489,15,1,3
188,-45,258,368,15,1,1
189,45,496,311,15,1,3
190,30,443,490,15,1,3
191,-60,316,355,15,1,1
192,-60,484,646,15,1,3
193,45,356,315,15,1,1
194,60,599,521,15,-1,2
195,-60,576,755,15,1,2
196,45,617,515,15,1,2
197,-60,409,662,15,1,1
198,60,321,304,15,1,1
199,-15,480,776,15,1,2
200,15,375,310,15,1,1
201,0,419,469,15,1,3
202,30,441,304,15,1,1
203,30,372,519,15,1,1
204,0,428,728,15,1,3
205,-45,492,557,15,1,1
206,0,417,551,15,1,3
207,-30,402,603,15,1,1
208,-45,393,484,15,-1,2
209,60,349,461,15,-1,2
210,45,694,660,15,1,3
211,30,514,591,15,1,1
212,15,357,642,15,1,1
213,-45,533,668,15,1,3
214,-45,0,742,15,0,2
215,30,684,378,15,1,2
216,0,553,650,15,1,1
217,-45,585,730,15,1,3
218,0,361,639,15,1,1
219,-15,423,369,15,1,1
220,30,609,539,15,-1,2
221,0,402,354,15,1,1
222,-30,510,536,15,1,2
223,60,719,351,15,1,3
224,-60,443,774,15,1,1
225,45,439,455,15,1,1
226,45,463,393,15,-1,2
227,-45,606,770,15,1,1
228,45,392,542,15,1,1
229,0,480,741,15,1,2
230,15,413,797,15,1,1
